"n","bias","nSims","differencePower","difficultyPower","difficultyPowerConstrained","interactionPower","avgDifferenceEffectSize","sdDifferenceEffectSize","avgDifficultyEffectSize","sdDifficultyEffectSize","avgInteractionEffectSize","sdInteractionEffectSize"
10,0.4,50,0.06,0.2,0.02,0.1,0.0986827637773339,0.12286435500235,0.213414639527041,0.169913031237195,0.106925071934197,0.139980250941476
20,0.4,50,0,0.48,0,0.08,0.0313722800810433,0.0347595929815192,0.174821992720397,0.125700186676428,0.056536230902265,0.078719021678983
30,0.4,50,0.04,0.62,0,0.04,0.0393889441035481,0.0367526794409192,0.164805130644424,0.104760792895153,0.0349603996569796,0.0439316779974786
40,0.4,50,0.04,0.76,0.06,0.12,0.0255974595339286,0.0318335994124841,0.176040678476252,0.102778298056742,0.0367498517716648,0.0456065665690993
50,0.4,50,0.02,0.82,0.08,0.04,0.0185578216597381,0.0261125015953619,0.152336965598603,0.0767465589027228,0.0181339673755496,0.0306888409300196
10,0.5,50,0.06,0.3,0,0.06,0.132419278325275,0.14776237886347,0.2472201723198,0.177951866211542,0.118561022760978,0.154409873612109
20,0.5,50,0,0.58,0,0.04,0.0474031856226374,0.0500411093710666,0.221416345644793,0.115158859956844,0.050414329875957,0.0621279805339284
30,0.5,50,0.06,0.68,0,0.08,0.0360662488690992,0.059115108172664,0.204750948641881,0.120797954368279,0.0444789964373412,0.068541583841525
40,0.5,50,0,0.8,0.02,0.04,0.0211445183950735,0.0213177643865568,0.193022664416717,0.0931736975755827,0.0282507156620552,0.0406964278029251
50,0.5,50,0.06,0.92,0.04,0.12,0.0218562820163505,0.0276115336129535,0.196861274663285,0.0864754562034668,0.0292055421908526,0.0372827617358203
