"n","bias","nSims","differencePower","difficultyPower","difficultyPowerConstrained","interactionPower","avgDifferenceEffectSize","sdDifferenceEffectSize","avgDifficultyEffectSize","sdDifficultyEffectSize","avgInteractionEffectSize","sdInteractionEffectSize"
10,0.4,50,0.06,0.2,0.02,0.1,0.0986827637773339,0.12286435500235,0.213414639527041,0.169913031237195,0.106925071934197,0.139980250941476
20,0.4,50,0,0.48,0,0.08,0.0313722800810433,0.0347595929815192,0.174821992720397,0.125700186676428,0.056536230902265,0.078719021678983
30,0.4,50,0.04,0.62,0,0.04,0.0393889441035481,0.0367526794409192,0.164805130644424,0.104760792895153,0.0349603996569796,0.0439316779974786
40,0.4,50,0.04,0.76,0.06,0.12,0.0255974595339286,0.0318335994124841,0.176040678476252,0.102778298056742,0.0367498517716648,0.0456065665690993
50,0.4,50,0.02,0.82,0.08,0.04,0.0185578216597381,0.0261125015953619,0.152336965598603,0.0767465589027228,0.0181339673755496,0.0306888409300196
10,0.5,50,0.06,0.3,0,0.06,0.132419278325275,0.14776237886347,0.2472201723198,0.177951866211542,0.118561022760978,0.154409873612109
20,0.5,50,0,0.58,0,0.04,0.0474031856226374,0.0500411093710666,0.221416345644793,0.115158859956844,0.050414329875957,0.0621279805339284
30,0.5,50,0.06,0.68,0,0.08,0.0360662488690992,0.059115108172664,0.204750948641881,0.120797954368279,0.0444789964373412,0.068541583841525
40,0.5,50,0,0.8,0.02,0.04,0.0211445183950735,0.0213177643865568,0.193022664416717,0.0931736975755827,0.0282507156620552,0.0406964278029251
50,0.5,50,0.06,0.92,0.04,0.12,0.0218562820163505,0.0276115336129535,0.196861274663285,0.0864754562034668,0.0292055421908526,0.0372827617358203
10,0.6,50,0.02,0.28,0,0.04,0.0854572523285454,0.111712277787333,0.25297589518996,0.177555510593418,0.113018257053575,0.113127748328428
20,0.6,50,0.12,0.7,0.02,0.06,0.0577180043971027,0.0738362178557721,0.253520772819308,0.134650900570788,0.0502178506976841,0.0660420618898031
30,0.6,50,0.04,0.78,0.04,0.08,0.0318835689658092,0.0398477054154405,0.212837002872097,0.0996693361933151,0.0414806010507458,0.0531586292199574
40,0.6,50,0,0.9,0,0.14,0.0228677941240365,0.0251676901436914,0.208121202541239,0.0810154661415757,0.0390828741847288,0.0517161936695384
50,0.6,50,0.06,1,0.14,0.1,0.0259564747498487,0.0283752915665871,0.267914325883971,0.0720113390944511,0.0244162137028063,0.0306200241059105
10,0.7,50,0.04,0.38,0,0.02,0.124143706851283,0.135689590310107,0.310733635052816,0.213840551568992,0.0902515571633716,0.101321316876183
20,0.7,50,0.02,0.7,0.1,0.08,0.0486445040486575,0.0565349661368803,0.291624368839458,0.139660834656396,0.0536061119561425,0.0612044284758794
30,0.7,50,0.02,0.96,0.12,0.08,0.0311142819981241,0.0324634901731133,0.291565285017513,0.107709391011713,0.0408601608722078,0.0538884024564674
40,0.7,50,0.04,0.98,0.2,0.08,0.0202565531393168,0.0260196847041809,0.275043633494577,0.0791280058286903,0.0286930957903491,0.036914112680886
50,0.7,50,0.02,0.98,0.2,0.1,0.0200832830181793,0.0255142250309817,0.292850602707214,0.0844830671499547,0.028751227366849,0.0321481119946078
