"n","bias","nSims","differencePower","difficultyPower","difficultyPowerConstrained","interactionPower","avgDifferenceEffectSize","sdDifferenceEffectSize","avgDifficultyEffectSize","sdDifficultyEffectSize","avgInteractionEffectSize","sdInteractionEffectSize"
10,0.4,5,0,0.2,0,0,0.0380322640832862,0.0277326888159421,0.201905841254378,0.258208927296341,0.192308871205423,0.104647661609672
20,0.4,5,0,0.6,0,0.2,0.0341402166436081,0.0277387380111181,0.199199916707241,0.166848972287203,0.0847236856563477,0.106334911197391
10,0.5,5,0,0.4,0,0,0.0918106231188116,0.118924958518399,0.355043161153876,0.178554226771899,0.0592065625912334,0.0469774437150421
20,0.5,5,0,0.6,0,0,0.0569931958460799,0.0303367727709232,0.241344628507028,0.144842754895115,0.017242005045665,0.0207905533720838
