"n","bias","differenceEffectSize","difficultyEffectSize","interactionEffectSize","differencep","difficultyp","interactionp","predictedDirection"
100,1,0.42185949261221,0.31863986313088,0.312469966362326,2.0201610177897e-13,7.84805851384362e-10,1.2375313720149e-09,1
100,1,0.589524969549329,0.254716981132075,0.2535,7.4562996105449e-21,7.38080101508279e-08,8.01949533641706e-08,1
100,1,0.558954713756763,0.29350569675723,0.461030588235293,2.67870371651286e-19,4.90105542110713e-09,6.00748577782619e-15,1
100,1,0.511136743564025,0.192733270499528,0.311747572815534,4.56574726505801e-17,4.3794758498662e-06,1.3049855748468e-09,1
100,1,0.403333333333332,0.10034180543383,0.110894251242015,9.83487181651561e-13,0.00124926391972169,0.000667249883916887,1
100,1,0.562678914176034,0.209570277529095,0.330212671688081,1.75482894055204e-19,1.48471317757732e-06,3.30504055029973e-10,1
100,1,0.496612496497617,0.224924330616996,0.328083034341363,1.97210801682052e-16,5.44245014094207e-07,3.87926305427335e-10,1
100,1,0.470232339089481,0.186069153776159,0.284003426613363,2.53734843167052e-15,6.68544929992004e-06,9.64292568930279e-09,1
100,1,0.446933492632416,0.125555555555555,0.22610970035551,2.18883598711585e-14,0.000277521711772684,5.03311742708928e-07,1
100,1,0.434608472400513,0.338945686900957,0.368520833333332,6.60448595140759e-14,1.70481160126404e-10,1.70012807316605e-11,1
