"n","bias","nSims","differencePower","difficultyPower","difficultyPowerConstrained","interactionPower","avgDifferenceEffectSize","sdDifferenceEffectSize","avgDifficultyEffectSize","sdDifficultyEffectSize","avgInteractionEffectSize","sdInteractionEffectSize"
60,0.4,50,0.06,0.92,0.1,0.04,0.0183246979850874,0.0266851713106272,0.166886211205205,0.081712896077949,0.0206054833831357,0.0299375590321825
70,0.4,50,0.12,0.94,0.02,0.04,0.0194610740255668,0.0302864862339982,0.161469122515641,0.0873870903241184,0.0137873140164731,0.017168670587251
80,0.4,50,0.02,0.98,0.14,0.12,0.0104896601919599,0.0160870987074294,0.162079240602299,0.0667420972728803,0.0158153062174273,0.0233031817068233
90,0.4,50,0.06,1,0.2,0.08,0.0113331808681327,0.0162932147664439,0.171935093955716,0.0553731801938839,0.0122792120715846,0.0186050313983838
100,0.4,50,0.06,0.98,0.14,0.1,0.0103725375910337,0.0138856282189295,0.145361674984523,0.0580722608937673,0.0136094258494923,0.0204874328373902
60,0.5,50,0.06,0.96,0.18,0.08,0.016015901094665,0.0227359673157062,0.186464015996154,0.0854810613155331,0.0225175799373405,0.0285547313873093
70,0.5,50,0.1,1,0.12,0.12,0.0161386554946871,0.0344408094245562,0.172561800756039,0.049910124735812,0.0251579426661262,0.0309159094948398
80,0.5,50,0.02,1,0.16,0.06,0.011078945902723,0.0192353333715292,0.167886402709182,0.0680720054713322,0.0132782369953879,0.0175071574661261
90,0.5,50,0.04,1,0.24,0.1,0.0114518367565524,0.0128997555886104,0.199601006615037,0.0712323801030781,0.0160442500094661,0.0174702602773664
100,0.5,50,0.06,1,0.24,0.08,0.00983510163687678,0.014829187827173,0.198963841407943,0.069243791137733,0.0138448868200022,0.0163336844759908
60,0.6,50,0.04,1,0.1,0.08,0.0130577616456515,0.0172824171116749,0.221518981120741,0.0794816008831157,0.0210212145912733,0.0260591025846302
70,0.6,50,0.08,1,0.18,0.08,0.0124641980086711,0.0202595140021826,0.209522310615973,0.0726923643186548,0.0165647067135467,0.0253592029827511
80,0.6,50,0.08,1,0.24,0.1,0.013996666932198,0.019236381397313,0.221783992677271,0.0574171788992169,0.015745518050303,0.0175381894746322
90,0.6,50,0.14,1,0.32,0.1,0.0153407549145687,0.0199199402272115,0.231042626316424,0.0712632670235362,0.0173190201729907,0.0219622572857339
100,0.6,50,0.06,1,0.18,0.1,0.0123172643502699,0.0131264096047295,0.225089053174995,0.0655326063876404,0.0164765432740469,0.0186182284333973
60,0.7,50,0.06,1,0.28,0.1,0.0167240665203216,0.0226347914171324,0.29367735334684,0.0976365206746898,0.0196614744563893,0.0240178672463176
70,0.7,50,0.02,1,0.24,0.16,0.0112935455905328,0.0171171718821561,0.271294845942841,0.0674303237232364,0.0266043741594043,0.0313166436052134
80,0.7,50,0.08,1,0.38,0.06,0.0139204599310752,0.0178498809364529,0.27164500142765,0.0836281185451983,0.0161599724116197,0.0173210855089092
90,0.7,50,0.04,1,0.36,0.18,0.013808931401998,0.0186205180871429,0.283401644824038,0.0649370116274605,0.022314029092572,0.0318027877797589
100,0.7,50,0.12,1,0.42,0.16,0.0119872881626362,0.017765129977492,0.279597648200796,0.054093901681327,0.0138249366779132,0.0172130654290658
