"n","bias","differenceEffectSize","difficultyEffectSize","interactionEffectSize","differencep","difficultyp","interactionp","predictedDirection"
100,0.7,0.132850782154412,0.280316599759964,0.0963740596627754,0.000178807718296865,1.251064766273e-08,0.00158032788525103,1
100,0.7,0.218972818415433,0.280383822923412,0.0702982777574204,8.04656596424038e-07,1.24515353200823e-08,0.00737156149189252,1
100,0.7,0.223020001793883,0.253112423637048,0.10511213628658,6.1695518381424e-07,8.23407591614868e-08,0.000941225904533322,1
100,0.7,0.212265249751677,0.124230431986906,0.0627269479262808,1.24643445131707e-06,0.000300520016850807,0.011533874446764,1
100,0.7,0.121294537293094,0.249278273345393,0.0587522722315131,0.000358405202510184,1.06850133797108e-07,0.0145984148860308,1
100,0.7,0.250395274875057,0.243285099726242,0.107132316773242,9.90516535791286e-08,1.60186221868633e-07,0.000834722554699754,1
100,0.7,0.236462987886945,0.255761775852734,0.107090079613562,2.53103057124475e-07,6.87254135717001e-08,0.000836821886607497,1
100,0.7,0.119130754653885,0.372179147112835,0.0501120589253677,0.000408005478022213,1.26922904177229e-11,0.0244251979454159,1
100,0.7,0.265038124780343,0.407968873054566,0.0796638933109061,3.633014520136e-08,6.648634203002e-13,0.00424131229103879,1
100,0.7,0.140878794135866,0.177106139933365,0.0587150154687388,0.000109936112676095,1.17575153773255e-05,0.0146307333496189,1
100,0.7,0.34345091918937,0.278897131931168,0.0894064297800345,1.20767335060798e-10,1.38251988085571e-08,0.00238620836686209,1
100,0.7,0.256901902643934,0.197635705669482,0.151205451792024,6.3571018450984e-08,3.20246402804731e-06,5.85423103989343e-05,1
100,0.7,0.182359499773994,0.33258272378962,0.171114961579027,8.45022585576529e-06,2.76378504077584e-10,1.71015552224666e-05,1
100,0.7,0.220754803061793,0.237549261551312,0.14381982888777,7.1594951854251e-07,2.35379456229758e-07,9.19238672458039e-05,1
100,0.7,0.235246431337833,0.280232805438457,0.0519015761082484,2.7451161216901e-07,1.2584717681389e-08,0.0219475721474048,1
100,0.7,0.40839151968025,0.293760678208335,0.176613126124482,6.41453777839805e-13,4.81229658336387e-09,1.21266428614458e-05,1
100,0.7,0.265666078184111,0.201974035006375,0.102599606262304,3.47865884173805e-08,2.42445261912391e-06,0.00109266855597205,1
100,0.7,0.191173851747422,0.211852108225238,0.0639328355517078,4.83638209743337e-06,1.28035533898224e-06,0.0107392132153042,1
100,0.7,0.123072745752868,0.298933208514795,0.127062958158618,0.000322148783900622,3.31712371955299e-09,0.000253470506062677,1
100,0.7,0.27768888421116,0.295963147924918,0.178881863476567,1.50502762823001e-08,4.10848433153665e-09,1.05174194455575e-05,1
100,0.7,0.323470071490754,0.269599157826544,0.168626033690658,5.47946545117146e-10,2.64837982176204e-08,1.99695219495827e-05,1
100,0.7,0.287859902570133,0.422666164090966,0.120443816080649,7.33431304200325e-09,1.88353292825065e-13,0.000377150884371895,1
100,0.7,0.220243163236538,0.20534721289456,0.138271663317177,7.40384986932257e-07,1.95098326595416e-06,0.000128790072722164,1
100,0.7,0.24465679052213,0.208401448687126,0.207133545492887,1.46045182671824e-07,1.60149037015609e-06,1.73838863514721e-06,1
100,0.7,0.23775240209106,0.270387608613525,0.0379982824576467,2.32203118136467e-07,2.50708372793272e-08,0.0507680992348511,1
100,0.7,0.190968215471024,0.149763807285546,0.150953631945356,4.90003086591316e-06,6.39459184463819e-05,5.94525835490181e-05,1
100,0.7,0.26717459352682,0.256468265837172,0.194567210055437,3.13369212263156e-08,6.54850760536883e-08,3.89627180323005e-06,1
100,0.7,0.226979225154408,0.263215855343017,0.00405139203304358,4.75224602896872e-07,4.1200356750908e-08,0.52715199983117,1
100,0.7,0.223578281497101,0.25394083351328,0.12208619875059,5.94703080483099e-07,7.78210171927936e-08,0.000341790492291313,1
100,0.7,0.205441543424016,0.183865127582017,0.0658520745640414,1.93914348054955e-06,7.6845946775313e-06,0.00958658462876195,1
100,0.7,0.221924597052644,0.170552486187846,0.0735156175526674,6.6302075817483e-07,1.77119180181244e-05,0.00609631133816978,1
100,0.7,0.143907181608208,0.237817531305903,0.0647676161919039,9.14360371566192e-05,2.31193692816621e-07,0.0102216423603885,1
100,0.7,0.313719719109684,0.279318766930086,0.249250488453661,1.12882490453341e-09,1.34211786210885e-08,1.07051612984089e-07,1
100,0.7,0.206972012362637,0.205739615826629,0.0800860909335486,1.75663605998276e-06,1.90219384030298e-06,0.00413695468597385,1
100,0.7,0.233030828075452,0.338000952935571,0.166256215088085,3.18167565590612e-07,1.83210740429781e-10,2.31384771628877e-05,1
100,0.7,0.245153767672351,0.213268969678685,0.0853606710158432,1.41230616484253e-07,1.16766255483696e-06,0.00303026841086245,1
100,0.7,0.123112484914165,0.203186813186813,0.081614475777785,0.000321381440866999,2.24246877972231e-06,0.00378017171439475,1
100,0.7,0.310814575834996,0.196620282048405,0.124604563700141,1.397466653529e-09,3.41740695162718e-06,0.00029384224283973,1
100,0.7,0.347901623128456,0.44173334092073,0.135672288514099,8.57183681441566e-11,3.49809886807062e-14,0.000150759803190303,1
100,0.7,0.268734486764077,0.292129538763494,0.0234435297144328,2.81233242903145e-08,5.40856160369782e-09,0.126353766377279,1
100,0.7,0.171020814943478,0.188575867426203,0.0541252606600987,1.7202253463536e-05,5.70390461668509e-06,0.0192215653688098,1
100,0.7,0.0859465539573251,0.183367208375312,0.117015562357201,0.00292723878417848,7.92991279497535e-06,0.000463043935638497,1
100,0.7,0.233855402346823,0.190731102377227,0.183465246749757,3.01176335963489e-07,4.97444612293438e-06,7.88100872514373e-06,1
100,0.7,0.312912264584291,0.268436577146232,0.0778321196190805,1.19793308059201e-09,2.87109672614414e-08,0.00472542904746582,1
100,0.7,0.310435101314205,0.260602959172322,0.113051578402621,1.43689484694807e-09,4.93202666164357e-08,0.000586720589785746,1
100,0.7,0.166433796334347,0.25091472868217,0.138392952482648,2.28847519753501e-05,9.56182172616848e-08,0.00012784607079086,1
100,0.7,0.245577524196889,0.275024908668217,0.0953721224763469,1.3724882708221e-07,1.81402727451819e-08,0.00167689107634032,1
100,0.7,0.227739438589947,0.292608012568735,0.197137488884426,4.51934824425923e-07,5.22651497782116e-09,3.30620941629002e-06,1
100,0.7,0.254504415512575,0.278756116404841,0.0342806017418844,7.48863913612048e-08,1.39629696160417e-08,0.0637911730270582,1
100,0.7,0.21829086534445,0.200098635210757,0.161080723423026,8.4139031791006e-07,2.73483604887061e-06,3.18829996250483e-05,1
