"n","bias","differenceEffectSize","difficultyEffectSize","interactionEffectSize","differencep","difficultyp","interactionp","predictedDirection"
100,1,0.46834874214075,0.473566057479376,0.281159296493418,3.03051309384406e-15,1.85012028467979e-15,1.1789143537964e-08,1
100,1,0.405781734732906,0.409508281998631,0.409001947952462,8.0005273901109e-13,5.8341898939602e-13,6.09063898919885e-13,1
100,1,0.456696023672369,0.383749702593386,0.248340399492985,8.97137549147372e-15,4.98109679086317e-12,1.13861379343708e-07,1
100,1,0.521720816684627,0.473421673057804,0.285456945391985,1.5299661758313e-17,1.87568046928634e-15,8.69928539512575e-09,1
100,1,0.585832549453115,0.464987308549031,0.328581098724516,1.16509048002327e-20,4.15442225976002e-15,3.73677364812081e-10,1
100,1,0.414264390662147,0.299419025522042,0.205056927827095,3.88806036842882e-13,3.20278518479182e-09,1.98786591563354e-06,1
100,1,0.46218992591212,0.407965477447394,0.277798505397178,5.39358947278017e-15,6.65054848738081e-13,1.49348686672938e-08,1
100,1,0.405271339657633,0.368108049780591,0.232380389155592,8.35288563009691e-13,1.75695555836516e-11,3.32232067754066e-07,1
100,1,0.387877376666556,0.323071444524405,0.245269870021785,3.55333822278887e-12,5.64487261112676e-10,1.40128520902441e-07,1
100,1,0.463357122716268,0.507961528041182,0.300435460808527,4.83777898846374e-15,6.30945898135941e-17,2.97593496111221e-09,1
100,1,0.543114130721814,0.392352057110652,0.260037710409336,1.55781629046082e-18,2.45774522696702e-12,5.12735302909601e-08,1
100,1,0.489327847446784,0.378811349513424,0.254672283906869,4.04467903636395e-16,7.44024256110372e-12,7.40334926692996e-08,1
100,1,0.456015349138863,0.364233041352617,0.244522854851643,9.55181368242276e-15,2.38986164780172e-11,1.47370063377621e-07,1
100,1,0.439585466676336,0.394433966183374,0.300979680303441,4.24030084091909e-14,2.06852446965705e-12,2.86103695010939e-09,1
100,1,0.466002084056964,0.426677444244406,0.250769661349007,3.77783081577299e-15,1.32778230245899e-13,9.6565124503949e-08,1
100,1,0.402553400152992,0.364450098010593,0.211589207515185,1.05015141150231e-12,2.34914147506514e-11,1.30241166623068e-06,1
100,1,0.48320728180768,0.395621762219572,0.267798004167124,7.33896245971007e-16,1.87426127640218e-12,3.00115107107488e-08,1
100,1,0.453478455245177,0.478885743747346,0.264604348364498,1.20578275857977e-14,1.11308722142579e-15,3.74354807760682e-08,1
100,1,0.463660152121816,0.377041523285157,0.195077457387013,4.70291590668962e-15,8.58452170485058e-12,3.77143027832014e-06,1
100,1,0.393192648059905,0.404489362684019,0.240814368094379,2.29263372671436e-12,8.92245140050047e-13,1.89129795326398e-07,1
100,1,0.444595478968004,0.309396380585206,0.206867341502398,2.70390171462626e-14,1.55049001591843e-09,1.76856054531387e-06,1
100,1,0.344900896860986,0.437197898423818,0.154640373637778,1.0803225995492e-10,5.24712989932321e-14,4.74161360354061e-05,1
100,1,0.455998808473413,0.378067400138764,0.226898219237733,9.56636729303197e-15,7.90175938750242e-12,4.77774772362681e-07,1
100,1,0.468261734026301,0.394768821662425,0.257338583301926,3.05543337220664e-15,2.01184432315663e-12,6.16990843889465e-08,1
100,1,0.505065837787987,0.383722649445554,0.38557587689757,8.45924254200856e-17,4.99209991991437e-12,4.29085376216698e-12,1
100,1,0.468360959597032,0.253382896618722,0.244166146427572,3.02702984677209e-15,8.08374348285343e-08,1.50956470413597e-07,1
100,1,0.524664042462729,0.331104803727308,0.298867090356452,1.12409872876441e-17,3.09008139573198e-10,3.33299138246204e-09,1
100,1,0.440322347097697,0.403137001971426,0.32560631340736,3.96974838237643e-14,9.99866747304884e-13,4.67088556334556e-10,1
100,1,0.433622524503148,0.356599014831363,0.135453109575518,7.20719909765111e-14,4.35848439361231e-11,0.000152773237454447,1
100,1,0.409972137415894,0.462499927285419,0.195601172161172,5.60856811331733e-13,5.24014277683164e-15,3.64738786000269e-06,1
100,1,0.532484866739864,0.397847410013389,0.221500957276614,4.90975361817484e-18,1.55724472035333e-12,6.81728908211011e-07,1
100,1,0.407877433291296,0.404628432623821,0.284343321482986,6.70037280832381e-13,8.81844549544163e-13,9.41364131386369e-09,1
100,1,0.435323987810187,0.396456696369781,0.20265492926904,6.19832371682937e-14,1.74853680426301e-12,2.32056398750612e-06,1
100,1,0.33493867723626,0.345666841330439,0.15133443845835,2.31225070491732e-10,1.01846799781088e-10,5.80813907082498e-05,1
100,1,0.418596142081666,0.28213628576867,0.320758099211264,2.67917394626684e-13,1.10037009612205e-08,6.70606964268673e-10,1
100,1,0.298345366007977,0.293518938632513,0.0951137540226666,3.46084096084016e-09,4.89640662880135e-09,0.00170272910377839,1
100,1,0.429418825710561,0.337176697424597,0.19027655147917,1.0441382736098e-13,1.95075450796099e-10,5.12022474521211e-06,1
100,1,0.435254401897913,0.437299175529927,0.28008139336331,6.23672358591631e-14,5.2000173988639e-14,1.2719651970052e-08,1
100,1,0.396832310362722,0.450112740117095,0.342353716973667,1.6947107587068e-12,1.63985341117673e-14,1.31372205038949e-10,1
100,1,0.484828091353736,0.434853389678474,0.27261887601052,6.27201869946723e-16,6.46260423362358e-14,2.14613226586713e-08,1
100,1,0.465637276348816,0.490325386917147,0.421878984073697,3.90919239197099e-15,3.66796142474931e-16,2.0167478998229e-13,1
100,1,0.468105834303123,0.422438470799535,0.278775710788255,3.10058861876604e-15,1.92115223734312e-13,1.3943745755648e-08,1
100,1,0.533364050559384,0.365189910058927,0.334168862251362,4.46939763985279e-18,2.21539968624981e-11,2.45118887491042e-10,1
100,1,0.439296601760122,0.385540472032895,0.301070659079609,4.35122344387006e-14,4.30329794795335e-12,2.8422587066046e-09,1
100,1,0.424804599088632,0.284782014558642,0.222478617088323,1.56369116478312e-13,9.12560858219421e-09,6.3931481947676e-07,1
100,1,0.491449015960966,0.330784135066327,0.2922855711651,3.28473950193416e-16,3.16571850711594e-10,5.34852177640992e-09,1
100,1,0.495758390211126,0.432886361464208,0.228442771084338,2.14651858264747e-16,7.69207411381672e-14,4.31388795194219e-07,1
100,1,0.472686207588838,0.439257609502599,0.314931098042659,2.01134924343511e-15,4.36641255240265e-14,1.03242352014749e-09,1
100,1,0.472910910334401,0.491731442329092,0.235647878679892,1.96890941788345e-15,3.19476460938535e-16,2.67257415380514e-07,1
100,1,0.469207559565828,0.396271203452775,0.260772198492215,2.79498522069602e-15,1.77573317667301e-12,4.87497969738129e-08,1
